epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,9.826879,8.962817,0.000000,0.001330
0,500,7.459300,7.822423,5.541218,5.324202
0,1000,7.444043,7.880458,5.512537,5.323404
0,1295,7.452411,8.643093,5.497336,5.322872
1,1500,7.402294,6.590039,5.533738,3.127660
1,2000,6.401437,6.101475,7.319476,3.183245
1,2500,6.032487,5.887906,8.412935,3.005585
1,2590,5.985621,5.940085,8.555135,2.706649
2,3000,5.517501,5.745089,9.932482,2.793617
2,3500,5.356105,5.660290,10.433589,2.603723
2,3885,5.281112,5.633205,10.706409,2.383245
3,4000,5.495301,5.650068,9.551724,2.787766
3,4500,5.143874,5.605493,10.874026,2.469149
3,5000,5.051802,5.597970,11.340681,2.385106
3,5180,5.035744,5.608749,11.430541,2.323670
4,5500,5.078895,5.506398,11.065732,2.507181
4,6000,4.954461,5.497099,11.664373,2.417021
4,6475,4.901622,5.529718,11.949498,2.364628
