epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,10.048689,8.730269,0.000000,0.001603
0,500,6.797153,7.217964,6.716567,6.581090
0,1000,6.794049,7.541995,6.811389,6.579487
0,1086,6.798770,7.806537,6.822698,6.580128
1,1500,6.992607,7.221679,6.771084,6.577564
1,2000,6.833196,7.293746,6.837814,6.575321
1,2172,6.820921,7.311433,6.859024,6.585577
2,2500,6.536310,6.812691,6.822644,6.580128
2,3000,6.450517,6.901774,6.869542,6.576923
2,3258,6.426602,7.443471,6.928683,6.581410
3,3500,6.225192,6.504282,6.798354,6.575321
3,4000,6.139553,6.487035,6.846972,6.569551
3,4344,6.109479,6.612007,6.938168,6.572115
4,4500,6.026454,6.331456,7.034076,6.577564
4,5000,5.951726,6.321711,6.934018,6.573077
4,5430,5.926776,6.383484,6.981354,6.571154
