epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,9.826879,8.948311,0.000000,0.001330
0,500,7.470440,7.838170,5.536926,5.324202
0,1000,7.456460,7.890920,5.510490,5.323404
0,1295,7.465795,8.683601,5.508803,5.322872
1,1500,7.986742,7.371629,5.223058,5.322872
1,2000,7.504737,7.381656,5.476841,5.322340
1,2500,7.392869,7.477439,5.541335,5.321543
1,2590,7.380819,7.494411,5.558224,5.321277
2,3000,6.583829,6.787017,5.650243,5.322340
2,3500,6.540748,6.743970,5.615313,5.320479
2,3885,6.515855,6.772684,5.668764,5.320479
3,4000,6.591515,6.673553,5.523707,5.323404
3,4500,6.462628,6.652198,5.611364,5.322340
3,5000,6.438888,6.656615,5.654256,5.321277
3,5180,6.432924,6.702154,5.664942,5.323404
4,5500,6.453322,6.547264,5.670093,5.320479
4,6000,6.330367,6.441207,6.639890,3.546809
4,6475,6.254543,6.372079,7.099653,3.436702
