epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,10.048689,8.748526,0.000000,0.001603
0,500,6.800998,7.218648,6.712275,6.581090
0,1000,6.803171,7.549308,6.782517,6.579487
0,1086,6.805821,7.813337,6.801657,6.580128
1,1500,6.972694,7.231484,6.760482,6.577564
1,2000,6.821270,7.256061,6.832459,6.575321
1,2172,6.809978,7.283191,6.854512,6.585577
2,2500,6.566931,6.856129,6.848936,6.580128
2,3000,6.475304,6.911647,6.888239,6.576923
2,3258,6.448904,8.043998,6.942956,6.581410
3,3500,6.233087,6.481743,6.798354,6.575321
3,4000,6.142380,6.458152,6.837820,6.569551
3,4344,6.110781,6.567810,6.931906,6.572115
4,4500,6.020960,6.320719,7.032484,6.577564
4,5000,5.949544,6.316778,6.933638,6.573077
4,5430,5.925115,6.381844,6.981123,6.571154
