epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,10.048689,9.954255,0.000000,0.001603
0,500,6.344440,6.629567,6.859182,6.581090
0,1000,6.292456,6.664123,6.935814,6.579487
0,1086,6.284941,6.756861,6.951197,6.580128
1,1500,6.077261,6.228868,8.423012,4.083654
1,2000,5.853019,6.074408,9.147104,3.267628
1,2172,5.797206,5.846242,9.336878,3.089103
2,2500,5.328729,5.650949,10.438602,3.181090
2,3000,5.179455,5.501089,11.217853,2.785256
2,3258,5.112645,5.457925,11.498389,2.843269
3,3500,5.019003,5.422545,11.603909,2.970192
3,4000,4.866556,5.365571,12.361844,2.915705
3,4344,4.811524,5.358928,12.628913,2.554808
4,4500,4.875085,5.304170,12.164650,2.781410
4,5000,4.744153,5.309310,12.833866,2.641987
4,5430,4.688363,5.306631,13.080985,2.545833
