epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,10.048689,8.839582,0.000000,0.001603
0,500,6.749225,7.137504,6.754491,6.581090
0,1000,6.739015,7.414921,6.831868,6.579487
0,1086,6.742030,7.646541,6.835405,6.580128
1,1500,6.846413,7.150162,6.830602,6.577564
1,2000,6.728924,7.197137,6.858470,5.944231
1,2172,6.690612,7.041722,7.209208,4.443910
2,2500,6.308382,6.549373,8.907903,4.006731
2,3000,6.158034,6.523526,9.047648,4.488782
2,3258,6.092458,6.606879,9.291390,3.492308
3,3500,5.747675,6.065684,9.904733,3.883333
3,4000,5.616547,6.020926,10.207806,3.706410
3,4344,5.562639,6.112085,10.398250,3.214103
4,4500,5.480545,5.856366,10.160191,3.999679
4,5000,5.357952,5.837081,10.553272,4.128526
4,5430,5.315779,5.894322,10.746133,3.481731
