epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,9.826879,9.771113,0.000000,0.001330
0,500,6.828076,6.793083,5.975749,3.627128
0,1000,6.528005,6.346785,6.808791,3.664362
0,1295,6.318324,5.719505,7.494402,2.024202
1,1500,5.540791,5.631465,10.158981,2.064628
1,2000,5.068812,5.206802,11.749929,1.946543
1,2500,4.845780,5.020302,12.617703,1.727660
1,2590,4.812377,5.124742,12.747413,1.712234
2,3000,4.454517,4.967814,13.841484,1.959043
2,3500,4.329710,4.907229,14.505488,1.843085
2,3885,4.266444,4.941274,14.814903,1.665426
3,4000,4.309645,4.959346,14.100862,1.780319
3,4500,4.127000,4.840350,15.284091,1.734309
3,5000,4.056148,4.840282,15.674059,1.707979
3,5180,4.043433,4.865283,15.741120,1.627394
4,5500,4.080427,4.819791,15.355296,1.629787
4,6000,3.992573,4.788868,15.868940,1.721011
4,6475,3.941688,4.780358,16.139344,1.634043
